Frequency (rad/sec) - Voltage (FFT - (RMS)),Amplitude (dB) - Voltage (FFT - (RMS))
200,-89
201,-90.7
202,-90.8
203,-89.7
204,-93.5
205,-89.5
206,-91.1
207,-92.6
208,-93.6
209,-95.9
210,-93.7
211,-95
212,-97.4
213,-90.9
214,-89.3
215,-94.4
216,-92.3
217,-90.8
218,-91.7
219,-100.1
220,-96.8
221,-97.8
222,-98.3
223,-99.8
224,-100.2
225,-92.4
226,-93.6
227,-94
228,-93.5
229,-96.1
230,-98.5
231,-93.8
232,-88.7
233,-91.2
234,-102.4
235,-97.9
236,-101.7
237,-97
238,-110.2
239,-97.1
240,-103.8
241,-101.7
242,-95.7
243,-92.1
244,-95.4
245,-100.3
246,-93.3
247,-96.1
248,-95.5
249,-91.4
250,-100.8
251,-103.6
252,-101.9
253,-97.6
254,-93.3
255,-90
256,-90.9
257,-95.3
258,-94.9
259,-98.2
260,-98.2
261,-99.3
262,-96
263,-95.2
264,-112
265,-98.7
266,-106.1
267,-96.9
268,-94.1
269,-99.4
270,-97.7
271,-94.5
272,-99.8
273,-94.4
274,-91.9
275,-94.3
276,-98.2
277,-89.9
278,-88.6
279,-90
280,-95.9
281,-99.5
282,-100.3
283,-108.3
284,-90.6
285,-89.4
286,-90.9
287,-93.9
288,-102.7
289,-93.6
290,-93.8
291,-93.9
292,-91.4
293,-93.2
294,-95.9
295,-97.3
296,-94.6
297,-107
298,-93.1
299,-92.2
300,-102.3
301,-98.6
302,-99.3
303,-96.7
304,-98.9
305,-99.2
306,-93.1
307,-89.8
308,-91.9
309,-98.6
310,-97.3
311,-90.5
312,-92.1
313,-93.9
314,-92.6
315,-98.8
316,-100.8
317,-99.7
318,-100.9
319,-94.9
320,-96.6
321,-96.7
322,-97.1
323,-90.4
324,-90.4
325,-90.7
326,-90.8
327,-91.4
328,-95.8
329,-98
330,-105.6
331,-98.8
332,-111.2
333,-94.9
334,-90.8
335,-94.5
336,-109.8
337,-97.5
338,-106.1
339,-93.5
340,-89.4
341,-93.5
342,-95
343,-93.6
344,-103.4
345,-96.6
346,-93.6
347,-95.6
348,-98.9
349,-100.5
350,-105.3
351,-104.4
352,-91.7
353,-92.4
354,-105.9
355,-92.8
356,-89.3
357,-91
358,-93.2
359,-99.2
360,-106.9
361,-98.3
362,-91.4
363,-89.3
364,-95.9
365,-91.7
366,-95.1
367,-97.3
368,-92
369,-90.8
370,-92.4
371,-92.4
372,-99.7
373,-98.5
374,-93.7
375,-101.4
376,-98.2
377,-96
378,-96.9
379,-96
380,-95.9
381,-104.9
382,-95
383,-93.7
384,-91.6
385,-90.2
386,-91.7
387,-103.5
388,-88.6
389,-92.5
390,-103.3
391,-96.7
392,-101
393,-94.4
394,-93.8
395,-97.7
396,-102
397,-99.6
398,-97.1
399,-94
400,-92.9
401,-92.6
402,-94.1
403,-91
404,-95.9
405,-92.8
406,-89.9
407,-94.7
408,-92.1
409,-93.3
410,-91
411,-90.4
412,-95.7
413,-94.5
414,-105.1
415,-99.8
416,-100.3
417,-109.9
418,-96.4
419,-98.9
420,-99.6
421,-94.9
422,-91.4
423,-96.8
424,-94.8
425,-98.3
426,-98.7
427,-93.8
428,-97.4
429,-98.6
430,-90.6
431,-90.6
432,-92.6
433,-90.8
434,-95.6
435,-104.2
436,-98
437,-92.2
438,-90
439,-89.8
440,-90.1
441,-88.7
442,-93.2
443,-96.8
444,-96.8
445,-91.7
446,-94
447,-96.8
448,-100.3
449,-121.7
450,-104.3
451,-93.2
452,-100
453,-94.4
454,-88.3
455,-95.9
456,-104.2
457,-103.1
458,-95.7
459,-92.5
460,-93.7
461,-91.4
462,-95.1
463,-95.9
464,-93.5
465,-97.3
466,-97
467,-93.2
468,-99.2
469,-94.1
470,-112.8
471,-96.1
472,-92.6
473,-93.9
474,-106.7
475,-97
476,-93.2
477,-95.1
478,-93.7
479,-93.6
480,-92.7
481,-96.7
482,-98.3
483,-93.9
484,-109.9
485,-93
486,-99.7
487,-102.3
488,-107.2
489,-92.3
490,-95.7
491,-96.4
492,-93.2
493,-93.9
494,-99.5
495,-100.6
496,-116
497,-114.4
498,-92.8
499,-90.6
500,-94.8
501,-99
502,-93.2
503,-91.7
504,-99.6
505,-97
506,-87.4
507,-86.2
508,-90.2
509,-95.9
510,-97.5
511,-99.6
512,-95
513,-94.5
514,-97.7
515,-98.2
516,-98.7
517,-101.3
518,-98.7
519,-90.1
520,-89.5
521,-102.2
522,-96.1
523,-105.8
524,-103.5
525,-100.7
526,-99.6
527,-98.3
528,-95
529,-93.2
530,-94.9
531,-96.4
532,-98.3
533,-97.5
534,-96.4
535,-96
536,-107
537,-99.2
538,-97.2
539,-95.1
540,-102
541,-94.2
542,-95.1
543,-100.1
544,-95.4
545,-102.2
546,-97.8
547,-90.1
548,-91.6
549,-89.3
550,-87.9
551,-90.9
552,-89.8
553,-89.8
554,-106.8
555,-101.8
556,-103.9
557,-96.6
558,-100.5
559,-95.4
560,-90.3
561,-90.3
562,-93.7
563,-94.6
564,-95.8
565,-102.1
566,-96.6
567,-101.4
568,-100
569,-99.1
570,-106.2
571,-94.3
572,-94.8
573,-103.9
574,-97.8
575,-99.1
576,-93.9
577,-96.8
578,-94.5
579,-98.6
580,-100
581,-104.7
582,-92.2
583,-93.3
584,-94.6
585,-99.5
586,-100.9
587,-100.2
588,-94.2
589,-92.2
590,-97.8
591,-102.8
592,-91.3
593,-89.7
594,-90.6
595,-95.1
596,-100.5
597,-106.7
598,-106.8
599,-97.8
600,-99.2
601,-101.7
602,-95.1
603,-92.2
604,-93.4
605,-103.3
606,-90.6
607,-88.2
608,-97.2
609,-91.5
610,-89.2
611,-92.6
612,-107.3
613,-93.4
614,-90.4
615,-95.1
616,-98
617,-100.1
618,-100.4
619,-96.5
620,-100.8
621,-100.6
622,-105.1
623,-106.3
624,-102.3
625,-121.3
626,-105
627,-105.5
628,-97.3
629,-92.5
630,-93.1
631,-102.1
632,-100.8
633,-108
634,-91.3
635,-90.7
636,-94.2
637,-102
638,-96.3
639,-90.4
640,-90.1
641,-94.2
642,-98.1
643,-99.1
644,-93
645,-89.5
646,-97.6
647,-103.9
648,-101.6
649,-92.7
650,-91.1
651,-111.2
652,-102.7
653,-92.9
654,-103.4
655,-90.9
656,-98.2
657,-96.5
658,-92.1
659,-90.3
660,-95.6
661,-102.4
662,-94.8
663,-92.2
664,-103
665,-104.9
666,-95.9
667,-91.7
668,-94.6
669,-94.8
670,-93.1
671,-106.1
672,-104.7
673,-101.8
674,-100
675,-104.2
676,-91.4
677,-88.4
678,-92.5
679,-114.5
680,-101
681,-103.7
682,-101.4
683,-96.9
684,-93.2
685,-90
686,-96.3
687,-87.1
688,-95.3
689,-88.1
690,-97.9
691,-87.2
692,-89
693,-83
694,-78.9
695,-74.5
696,-68
697,-60.3
698,-47.9
699,-8.6
700,-3
701,-9.5
702,-48.9
703,-60.8
704,-68.7
705,-74.6
706,-80.1
707,-80.9
708,-92.6
709,-85.3
710,-91.1
711,-92
712,-100.1
713,-93.9
714,-96.6
715,-102.6
716,-95.1
717,-101.2
718,-97.4
719,-93.2
720,-91.7
721,-95.6
722,-96.8
723,-103.3
724,-93
725,-97
726,-101
727,-95.7
728,-108.5
729,-114.3
730,-107.3
731,-99.1
732,-98.8
733,-102.1
734,-95
735,-97.1
736,-98
737,-93.2
738,-91
739,-93.2
740,-97.2
741,-98.7
742,-103.1
743,-94.3
744,-98.8
745,-96.9
746,-92.3
747,-93.3
748,-101.7
749,-99.7
750,-104.2
751,-101.3
752,-100.7
753,-94.1
754,-94.9
755,-99.5
756,-103.1
757,-112.1
758,-99.6
759,-99.2
760,-115.6
761,-115.8
762,-96.5
763,-94.1
764,-92.2
765,-94.6
766,-96.8
767,-95.3
768,-105.1
769,-97.4
770,-95.4
771,-101.4
772,-101.6
773,-95.7
774,-94.8
775,-113
776,-103.6
777,-94.5
778,-95.6
779,-101.9
780,-97.6
781,-97.2
782,-92.7
783,-95.2
784,-96.3
785,-97
786,-99.9
787,-101.5
788,-106.4
789,-94.5
790,-98.4
791,-112.1
792,-92.5
793,-92.4
794,-94.4
795,-96
796,-99.5
797,-96.4
798,-92.4
799,-95.1
800,-95.9